s,h,s,h,s,s,s,s,s,s
ASM Global,ASM Global,2/13/24,https://jfs.ohio.gov/static/warn/WARN 2024/ASMGlobal.pdf,Fairborn/Greene,77,2/23/24,(610) 729-1073,N,007-24-014
Commercial Vehicle Group,Commercial Vehicle Group,2/12/24,https://jfs.ohio.gov/static/warn/WARN 2024/CommercialVehicleGroup.pdf,Chillicothe/Ross,79,06/28/2024-08/16/2024,(704) 886-6461,N,020-24-013
Genpact LLC,Genpact LLC,2/12/24,https://jfs.ohio.gov/static/warn/WARN 2024/GenpactLLC.pdf,Dublin/Franklin,64,04/12/2024-07/15/2024,(203) 300-9547,N,011-24-012
Walmart,Walmart,2/6/24,https://jfs.ohio.gov/static/warn/WARN%202024/Walmart.pdf,Columbus/Franklin,177,5/3/24,(937) 929-9187,N,011-24-011
Linamar Structures USA,Linamar Structures USA,2/2/24,https://jfs.ohio.gov/static/warn/WARN 2024/LinamarStructuresUSA.pdf,Edon/Williams,106,04/01/2024-08/30/2024,(000) 000-000,N,007-24-010
"ZIN Technologies, Inc","ZIN Technologies, Inc",1/30/24,https://jfs.ohio.gov/static/warn/WARN 2024/ZINTechnologiesInc.pdf,Middleburg Heights/Cuyahoga,122,03/31/2024-09/30/2024,(440)863-4374,N,003-24-009
Nestle USA,Nestle USA,1/29/24,https://jfs.ohio.gov/static/warn/WARN 2024/NestleUSA.pdf,Solon/Cuyahoga,241,3/29/2024-12/31/2024 ,(513) 446-6208,N,003-24-008
Centerpoint Health,Centerpoint Health,1/18/24,https://jfs.ohio.gov/static/warn/WARN%202024/CenterpointHealth.pdf,Franklin/Warren,15,1/20/24,(937) 251-2701,N,012-24-007
Lost Boys Interactive,Lost Boys Interactive,1/16/24,https://jfs.ohio.gov/static/warn/WARN%202024/LostBoysInteractive.pdf,Multiple Counties,3,3/15/24,(000)000-0000,N,000-24-006
VS Direct LLC,VS Direct LLC,1/12/24,https://jfs.ohio.gov/static/warn/WARN%202024/VSDirectLLC.pdf,Kettering/Montgomery,120,3/16/2024- 8/3/2024,(000) 000-000,N,007-24-005
Marsden Services LLC,Marsden Services LLC,1/11/24,https://jfs.ohio.gov/static/warn/WARN%202024/MarsdenServicesLLC.pdf,Etna/Licking,88,02/20/2024-03/05/2024,(281)747-6488,N,007-24-004
"Newell Brands Distribution, LLC ","Newell Brands Distribution, LLC ",1/10/24,https://jfs.ohio.gov/static/warn/WARN%202024/NewellBrandsDistributionLLC.pdf,Pataskala/Licking,190,3/8/24,(404)777-7735,N,007-24-003
GDI Services,GDI Services,1/5/24,https://jfs.ohio.gov/static/warn/WARN 2024/GDIServices.pdf,Multiple Counties,284,3/5/24,(864)297-3848,N,000-24-002
St. Bernard Soap Company,St. Bernard Soap Company,1/3/24,https://jfs.ohio.gov/static/warn/WARN%202024/St.%20Bernard%20Soap%20Company.pdf,Cincinnati/Hamilton,118,3/5/2024-03/19/2024,(513)242-2227,Independent Employees Representative,013-24-001
